gvkey,cik,datadate,fyear,company name,curcd,Total revenue,Net income(loss),Profitability,ProfitabilityDiff,assests and liabilities other net change,assestsDiff,cash and cash equivalents incease(decrease) ,cashDiff,operating income,incomeDiff,company statement,have 2021
1585,5981,12/31/2020,2020,AMERICAN VANGUARD CORP,USD,458.704,15.242,0.0332284,0.00417798,36.674,63.128,9.342,8.929,38.403,-1.841,A,
1613,6176,12/31/2019,2019,AMPCO-PITTSBURGH CORP,USD,397.904,-20.986,-0.052741365,,-25.942,,-13.877,,21.82,,A,
1613,6176,12/31/2020,2020,AMPCO-PITTSBURGH CORP,USD,328.544,7.97,0.024258547,0.076999912,13.057,38.999,9.882,23.759,24.72,2.9,A,
1618,6207,04/30/2020,2019,AMREP CORP,USD,18.783,-5.903,-0.314273545,,2.527,,3.266,,0.553,,A,
1618,6207,04/30/2021,2020,AMREP CORP,USD,40.069,7.392,0.184481769,0.498755314,2.828,0.301,7.299,4.033,9.601,9.048,A,
1632,6281,10/31/2019,2019,ANALOG DEVICES,USD,5991.065,1363.011,0.227507296,,-67.024,,-168.269,,2617.518,,A,
1632,6281,10/31/2020,2020,ANALOG DEVICES,USD,5603.056,1220.761,0.217874139,-0.009633158,-136.864,-69.84,407.538,575.807,2421.602,-195.916,A,
1650,6494,12/31/2019,2019,ANDREA ELECTRONICS CORP,USD,1.895,-0.549,-0.289709763,,-0.048,,-0.151,,-0.4,,A,
1650,6494,12/31/2020,2020,ANDREA ELECTRONICS CORP,USD,1.355,-0.824,-0.608118081,-0.318408319,-0.087,-0.039,0.027,0.178,-0.703,-0.303,A,
1686,6845,02/29/2020,2019,APOGEE ENTERPRISES INC,USD,1387.439,61.914,0.044624665,,-11.306,,-14.289,,123.948,,A,
1686,6845,02/28/2021,2020,APOGEE ENTERPRISES INC,USD,1230.774,15.436,0.012541701,-0.032082963,-20.48,-9.174,32.325,46.614,118.585,-5.363,A,
1704,6951,10/31/2019,2019,APPLIED MATERIALS INC,USD,14608,2706,0.185240964,,47,,-311,,3735,,A,
1704,6951,10/31/2020,2020,APPLIED MATERIALS INC,USD,17202,3619,0.210382514,0.02514155,-107,-154,2337,2648,4851,1116,A,
1704,6951,10/31/2021,2021,APPLIED MATERIALS INC,USD,23063,5888,0.255300698,0.044918184,-1344,-1237,-365,-2702,7663,2812,A,3 years
1706,6955,08/31/2019,2019,ENERPAC TOOL GROUP CORP,USD,654.758,-249.145,-0.380514633,,5.269,,-39.339,,96.533,,A,
1706,6955,08/31/2020,2020,ENERPAC TOOL GROUP CORP,USD,493.292,0.723,0.001465663,0.381980296,7.828,2.559,-58.981,-19.642,50.121,-46.412,A,
1706,6955,08/31/2021,2021,ENERPAC TOOL GROUP CORP,USD,528.66,38.077,0.072025498,0.070559835,-18.812,-26.64,-11.818,47.163,75.955,25.834,A,3 years
1712,7039,12/31/2019,2019,TRECORA RESOURCES,USD,258.959,-14.974,-0.057823825,,0.277,,-0.59,,29.49,,A,
1712,7039,12/31/2020,2020,TRECORA RESOURCES,USD,208.626,31.175,0.149430081,0.207253906,-10.748,-11.025,49.519,50.109,19.086,-10.404,A,
1722,7084,12/31/2019,2019,ARCHER-DANIELS-MIDLAND CO,USD,64656,1379,0.02132826,,-8004,,-853,,2663,,A,
1722,7084,12/31/2020,2020,ARCHER-DANIELS-MIDLAND CO,USD,64355,1772,0.027534768,0.006206508,-2940,5064,1656,2509,2659,-4,A,
175689,7431,12/31/2019,2019,ARMSTRONG WORLD INDUSTRIES,USD,1038.1,214.5,0.206627493,,-31.5,,-290.4,,310.3,,A,
175689,7431,12/31/2020,2020,ARMSTRONG WORLD INDUSTRIES,USD,936.9,-99.1,-0.105774362,-0.312401855,23.2,54.7,91.6,382,258.2,-52.1,A,
1783,7623,11/30/2019,2019,ARTS WAY MFG INC,USD,22.889,-1.42,-0.062038534,,-0.709,,0,,-0.493,,A,
1783,7623,11/30/2020,2020,ARTS WAY MFG INC,USD,22.409,-2.103,-0.093846222,-0.031807689,0.961,1.67,0,0,-2.875,-2.382,A,
1823,8063,12/31/2019,2019,ASTRONICS CORP,USD,772.702,52.017,0.067318319,,-15.429,,15.284,,81.456,,A,
1823,8063,12/31/2020,2020,ASTRONICS CORP,USD,502.587,-115.781,-0.230370065,-0.297688385,-22.487,-7.058,8.506,-6.778,16.715,-64.741,A,
1820,8146,01/31/2020,2019,ASTRONOVA INC,USD,133.446,1.759,0.013181362,,-0.156,,-3.285,,8.717,,A,
1820,8146,01/31/2021,2020,ASTRONOVA INC,USD,116.033,1.284,0.011065817,-0.002115544,-0.97,-0.814,7.19,10.475,8.416,-0.301,A,
27339,8504,12/31/2019,2019,AGEAGLE AERIAL SYSTEMS,USD,0.297,-2.523,-8.494949495,,0.216,,-1.884,,-2.187,,A,
27339,8504,12/31/2020,2020,AGEAGLE AERIAL SYSTEMS,USD,1.285,-4.932,-3.838132296,4.656817199,-0.26,-0.476,23.222,25.106,-4.756,-2.569,A,
1891,8670,06/30/2019,2019,AUTOMATIC DATA PROCESSING,USD,14175.2,2292.8,0.161747277,,-731.9,,254.1,,3489.8,,A,
1891,8670,06/30/2020,2020,AUTOMATIC DATA PROCESSING,USD,14589.8,2466.5,0.169056464,0.007309187,-1006.2,-274.3,257.4,3.3,3773.2,283.4,A,
1891,8670,06/30/2021,2021,AUTOMATIC DATA PROCESSING,USD,15005.4,2598.5,0.173170992,0.004114528,-597.6,408.6,6089.6,5832.2,3804.6,31.4,A,3 years
1913,8818,12/31/2019,2019,AVERY DENNISON CORP,USD,7070.1,303.6,0.042941401,,-70.9,,21.7,,998.3,,A,
1913,8818,12/31/2020,2020,AVERY DENNISON CORP,USD,6971.5,555.9,0.079738937,0.036797536,-93.1,-22.2,-1.4,-23.1,1065.9,67.6,A,
1926,8947,02/29/2020,2019,AZZ INC,USD,1061.817,48.234,0.045425907,,-14.207,,12.682,,157.326,,A,
1926,8947,02/28/2021,2020,AZZ INC,USD,838.917,39.614,0.047220404,0.001794498,-21.166,-6.959,-21.85,-34.532,126.216,-31.11,A,
1968,9092,12/31/2019,2019,BADGER METER INC,USD,424.625,47.177,0.111102738,,5.51,,35.785,,84.017,,A,
1968,9092,12/31/2020,2020,BADGER METER INC,USD,425.544,49.343,0.115952757,0.004850019,8.315,2.805,23.402,-12.383,88.309,4.292,A,
1979,9326,12/31/2019,2019,BALCHEM CORP  -CL B,USD,643.705,79.671,0.123769429,,-6.315,,11.404,,149.868,,A,
1979,9326,12/31/2020,2020,BALCHEM CORP  -CL B,USD,703.644,84.623,0.12026394,-0.003505488,-0.799,5.516,18.899,7.495,165.187,15.319,A,
1988,9389,12/31/2019,2019,BALL CORP,USD,11474,566,0.049328918,,161,,1078,,1854,,A,
1988,9389,12/31/2020,2020,BALL CORP,USD,11781,585,0.049656226,0.000327309,-57,-218,-425,-1503,1933,79,A,
2049,9984,12/31/2019,2019,BARNES GROUP INC,USD,1491.118,158.35,0.106195486,,-26.873,,-6.914,,343.162,,A,
2049,9984,12/31/2020,2020,BARNES GROUP INC,USD,1124.391,63.375,0.056363845,-0.049831641,-7.139,19.734,-2.337,4.577,231.65,-111.512,A,
2080,10329,11/30/2019,2019,BASSETT FURNITURE INDS,USD,452.087,-1.928,-0.004264666,,-0.799,,-13.781,,17.495,,A,
2080,10329,11/30/2020,2020,BASSETT FURNITURE INDS,USD,385.863,-10.421,-0.027006995,-0.022742329,1.974,2.773,26.112,39.893,0.277,-17.218,A,
2086,10456,12/31/2019,2019,BAXTER INTERNATIONAL INC,USD,11362,1001,0.088100686,,-152,,1497,,2726,,A,
2086,10456,12/31/2020,2020,BAXTER INTERNATIONAL INC,USD,11673,1102,0.094405894,0.006305207,-127,25,401,-1096,2679,-47,A,
2111,10795,09/30/2019,2019,BECTON DICKINSON & CO,USD,17290,1233,0.071312898,,-171,,-646,,5024,,A,
2111,10795,09/30/2020,2020,BECTON DICKINSON & CO,USD,17117,874,0.051060349,-0.020252548,285,456,2326,2972,4454,-570,A,
2220,12208,12/31/2019,2019,BIO-RAD LABORATORIES INC,USD,2311.659,1758.675,0.760784787,,84.1,,228.487,,389.598,,A,
2220,12208,12/31/2020,2020,BIO-RAD LABORATORIES INC,USD,2513.654,3806.267,1.514236645,0.753451858,136.8,52.7,4.464,-224.023,537.439,147.841,A,
18738,12239,12/31/2019,2019,ALKIDO PHARMA INC,USD,0.009,-4.183,-464.7777778,,-0.1,,0.074,,-5.608,,A,
18738,12239,12/31/2020,2020,ALKIDO PHARMA INC,USD,0,-12.337,,,0.116,0.216,2.624,2.55,-6.546,-0.938,A,
2269,12659,04/30/2020,2019,BLOCK H & R INC,USD,2639.72,-7.526,-0.00285106,,-64.5,,1165.293,,352.619,,A,
2269,12659,04/30/2021,2020,BLOCK H & R INC,USD,3413.987,583.791,0.170999772,0.173850832,-193.556,-129.056,-1810.1,-2975.393,926.479,573.86,A,
2285,12927,12/31/2019,2019,BOEING CO,USD,84818,-636,-0.007498408,,-2846,,1758,,7850,,A,
2285,12927,12/31/2020,2020,BOEING CO,USD,58656,-11873,-0.202417485,-0.194919077,-3251,-405,-1736,-3494,-7572,-15422,A,
2316,13239,12/31/2019,2019,HEXION INC,USD,3374,2805,0.831357439,,44,,126,,275,,A,
2316,13239,12/31/2020,2020,HEXION INC,USD,2510,-230,-0.091633466,-0.922990905,-32,-76,-50,-176,212,-63,A,
2342,13573,06/30/2019,2019,BOWL AMERICA INC  -CL A,USD,24.419,3.049,0.124861788,,-0.243,,-0.739,,4.199,,I,
2342,13573,06/30/2020,2020,BOWL AMERICA INC  -CL A,USD,17.781,0.403,0.022664642,-0.102197146,-0.324,-0.081,1.389,2.128,1.302,-2.897,I,
2390,14177,10/31/2019,2019,BRIDGFORD FOODS CORP,USD,188.785,6.484,0.034345949,,-0.966,,-4.701,,12.98,,A,
2390,14177,10/31/2020,2020,BRIDGFORD FOODS CORP,USD,197.97,7.323,0.036990453,0.002644504,-4.379,-3.413,1.949,6.65,10.586,-2.394,A,
2403,14272,12/31/2019,2019,BRISTOL-MYERS SQUIBB CO,USD,26145,3439,0.131535666,,714,,5909,,8547,,A,
2403,14272,12/31/2020,2020,BRISTOL-MYERS SQUIBB CO,USD,42518,-9015,-0.212027847,-0.343563514,1074,360,2153,-3756,16660,8113,A,
2435,14693,04/30/2020,2019,BROWN FORMAN CORP,USD,3363,827,0.245911389,,-52,,368,,1176,,A,
2435,14693,04/30/2021,2020,BROWN FORMAN CORP,USD,3461,903,0.260907252,0.014995864,70,122,475,107,1121,-55,A,
2436,14707,01/31/2020,2019,CALERES INC,USD,2921.562,62.819,0.021501854,,-90.76,,15.018,,192.943,,A,
2436,14707,01/31/2021,2020,CALERES INC,USD,2117.07,-439.114,-0.20741591,-0.228917764,-1.446,89.314,43.077,28.059,-4.502,-197.445,A,
2444,14930,12/31/2019,2019,BRUNSWICK CORP,USD,4108.4,-131,-0.031885892,,9.7,,28.5,,633.3,,A,
2444,14930,12/31/2020,2020,BRUNSWICK CORP,USD,4347.5,372.7,0.08572743,0.117613322,9.5,-0.2,198.4,169.9,696,62.7,A,
154984,15357,06/30/2019,2019,CHASE GENERAL CORP,USD,2.521,-0.035,-0.01388338,,0.015,,0.017,,0.008,,A,
154984,15357,06/30/2020,2020,CHASE GENERAL CORP,USD,2.576,-0.146,-0.056677019,-0.042793639,0,-0.015,0.034,0.017,-0.089,-0.097,A,
154984,15357,06/30/2021,2021,CHASE GENERAL CORP,USD,2.96,0.364,0.122972973,0.179649992,-0.002,-0.002,-0.046,-0.08,0.226,0.315,A,3 years
2519,15847,04/30/2020,2019,BUTLER NATIONAL CORP,USD,65.871,4.234,0.064277148,,-0.609,,7.779,,13.422,,A,
2519,15847,04/30/2021,2020,BUTLER NATIONAL CORP,USD,61.48,1.433,0.023308393,-0.040968755,3.184,3.793,5.229,-2.55,9.442,-3.98,A,
2593,16040,09/30/2019,2019,CABOT CORP,USD,3337,157,0.047048247,,-19,,-6,,499,,A,
2593,16040,09/30/2020,2020,CABOT CORP,USD,2614,-238,-0.091048202,-0.138096449,-18,1,-18,-12,378,-121,A,
2593,16040,09/30/2021,2021,CABOT CORP,USD,3400,250,0.073529412,0.164577614,-244,-226,19,37,613,235,A,3 years
2596,16058,06/30/2019,2019,CACI INTL INC  -CL A,USD,4986.341,265.604,0.053266313,,0.881,,5.834,,475.067,,A,
2596,16058,06/30/2020,2020,CACI INTL INC  -CL A,USD,5720.042,321.48,0.056202385,0.002936072,-93.336,-94.217,35.208,29.374,569.396,94.329,A,
2596,16058,06/30/2021,2021,CACI INTL INC  -CL A,USD,6044.135,457.443,0.075683783,0.019481398,-289.893,-196.557,-19.205,-54.413,664.851,95.455,A,3 years
2663,16732,07/31/2019,2019,CAMPBELL SOUP CO,USD,8107,211,0.02602689,,-1,,-47,,1555,,A,
2663,16732,07/31/2020,2020,CAMPBELL SOUP CO,USD,8691,1628,0.187320216,0.161293326,-3,-2,680,727,1673,118,A,
2663,16732,07/31/2021,2021,CAMPBELL SOUP CO,USD,8476,1002,0.11821614,-0.069104077,-28,-25,-790,-1470,1619,-54,A,3 years
2710,16918,02/29/2020,2019,CONSTELLATION BRANDS,USD,8343.5,-11.8,-0.001414275,,-33.6,,-12.2,,3023.6,,A,
2710,16918,02/28/2021,2020,CONSTELLATION BRANDS,USD,8614.9,1998,0.23192376,0.233338035,-105,-71.4,379.2,391.4,3261.9,238.3,A,
2787,17843,06/30/2019,2019,CARPENTER TECHNOLOGY CORP,USD,2380.2,167,0.070162171,,1.1,,-29.2,,352.7,,A,
2787,17843,06/30/2020,2020,CARPENTER TECHNOLOGY CORP,USD,2181.1,1.5,0.000687726,-0.069474445,-23.5,-24.6,166.1,195.3,281.6,-71.1,A,
2787,17843,06/30/2021,2021,CARPENTER TECHNOLOGY CORP,USD,1475.6,-229.6,-0.155597723,-0.156285449,-59.1,-35.6,94.3,-71.8,-34.1,-315.7,A,3 years
2817,18230,12/31/2019,2019,CATERPILLAR INC,USD,53800,6093,0.113252788,,-1765,,402,,12201,,A,
2817,18230,12/31/2020,2020,CATERPILLAR INC,USD,41748,2998,0.071811823,-0.041440965,-1013,752,1074,672,8327,-3874,A,
2940,19411,12/31/2019,2019,MAGELLAN HEALTH INC,USD,7159.423,55.902,0.007808171,,32.921,,52.941,,227.166,,A,
2940,19411,12/31/2020,2020,MAGELLAN HEALTH INC,USD,4577.531,382.335,0.083524284,0.075716113,224.093,191.172,1028.698,975.757,120.791,-106.375,A,
2942,19446,07/31/2019,2019,CANTEL MEDICAL CORP,USD,918.155,55.042,0.059948484,,9.729,,-49.562,,162.569,,I,
2942,19446,07/31/2020,2020,CANTEL MEDICAL CORP,USD,1016.048,13.708,0.013491489,-0.046456995,-39.674,-49.403,233.336,282.898,164.517,1.948,I,
2960,19584,12/31/2019,2019,CHEMED CORP,USD,1938.555,219.923,0.113446872,,28.425,,1.327,,316.551,,A,
2960,19584,12/31/2020,2020,CHEMED CORP,USD,2079.583,319.466,0.153620221,0.040173349,31.289,2.864,156.517,155.19,371.168,54.617,A,
2999,19871,12/31/2019,2019,CHICAGO RIVET & MACHINE CO,USD,32.873,0.538,0.016366015,,-0.072,,0.723,,1.873,,A,
2999,19871,12/31/2020,2020,CHICAGO RIVET & MACHINE CO,USD,27.591,0.05,0.001812185,-0.01455383,0.113,0.185,1.138,0.415,1.263,-0.61,A,
3028,20212,12/31/2019,2019,CHURCHILL DOWNS INC,USD,1329.7,137.5,0.103406783,,5.8,,-30.8,,320.2,,A,
3028,20212,12/31/2020,2020,CHURCHILL DOWNS INC,USD,1054,-81.9,-0.077703985,-0.181110768,-47.7,-53.5,-21.5,9.3,171.6,-148.6,A,
3121,21076,06/30/2019,2019,CLOROX CO/DE,USD,6214,820,0.13196009,,20,,-21,,1287,,A,
3121,21076,06/30/2020,2020,CLOROX CO/DE,USD,6721,939,0.139711352,0.007751262,35,15,766,787,1441,154,A,
3121,21076,06/30/2021,2021,CLOROX CO/DE,USD,7341,710,0.096717069,-0.042994284,-122,-157,-555,-1321,1436,-5,A,3 years
3144,21344,12/31/2019,2019,COCA-COLA CO,USD,37266,8920,0.239360275,,-707,,-2581,,11887,,A,
3144,21344,12/31/2020,2020,COCA-COLA CO,USD,33014,7747,0.234658024,-0.004702251,585,1292,373,2954,11359,-528,A,
3157,21510,09/30/2019,2019,COHERENT INC,USD,1430.64,53.825,0.037623022,,-103.814,,-5.384,,198.143,,A,
3157,21510,09/30/2020,2020,COHERENT INC,USD,1228.999,-414.139,-0.336972609,-0.374595631,-37.994,65.82,126.859,132.243,95.054,-103.089,A,
3157,21510,09/30/2021,2021,COHERENT INC,USD,1487.468,-106.751,-0.071766922,0.265205687,,,,,,,A,3 years
3158,21535,12/31/2019,2019,COHU INC,USD,583.329,-69.7,-0.119486602,,-1.581,,-8.991,,35.834,,A,
3158,21535,12/31/2020,2020,COHU INC,USD,636.007,-13.801,-0.021699447,0.097787155,26.39,27.971,-6.572,2.419,75.796,39.962,A,
3170,21665,12/31/2019,2019,COLGATE-PALMOLIVE CO,USD,15693,2367,0.150831581,,87,,157,,4278,,A,
3170,21665,12/31/2020,2020,COLGATE-PALMOLIVE CO,USD,16471,2695,0.163620909,0.012789329,-26,-113,5,-152,4450,172,A,
3246,22444,08/31/2019,2019,COMMERCIAL METALS,USD,5829.002,198.093,0.033984034,,-18.643,,-438.886,,551.161,,A,
3246,22444,08/31/2020,2020,COMMERCIAL METALS,USD,5476.486,279.503,0.051036924,0.01705289,110.363,129.006,351.235,790.121,639.885,88.724,A,
3246,22444,08/31/2021,2021,COMMERCIAL METALS,USD,6729.76,412.865,0.061349142,0.010312218,139.337,28.974,-43.835,-395.07,777.16,137.275,A,3 years
3275,22701,12/31/2019,2019,COMMUNICATIONS SYSTEMS INC,USD,50.906,6.469,0.127077358,,1.423,,3.551,,1.041,,A,
3275,22701,12/31/2020,2020,COMMUNICATIONS SYSTEMS INC,USD,42.576,-0.172,-0.004039835,-0.131117193,0.377,-1.046,-1.515,-5.066,-1.05,-2.091,A,
3342,23111,12/31/2019,2019,COMPUTER TASK GROUP INC,USD,394.17,4.125,0.010465028,,-2.33,,-1.65,,10.68,,A,
3342,23111,12/31/2020,2020,COMPUTER TASK GROUP INC,USD,366.091,7.639,0.020866397,0.010401369,5.413,7.743,22.084,23.734,14.639,3.959,A,
3358,23197,07/31/2019,2019,COMTECH TELECOMMUN,USD,671.797,25.041,0.037274653,,-17.835,,2.092,,82.045,,A,
3358,23197,07/31/2020,2020,COMTECH TELECOMMUN,USD,616.715,7.02,0.011382892,-0.025891761,-9.314,8.521,2.302,0.21,68.528,-13.517,A,
3358,23197,07/31/2021,2021,COMTECH TELECOMMUN,USD,581.695,-73.48,-0.126320494,-0.137703386,21.076,30.39,-17.017,-19.319,66.221,-2.307,A,3 years
3362,23217,05/31/2020,2019,CONAGRA BRANDS INC,USD,11054.4,840.1,0.075996888,,-13.6,,316.7,,2194.5,,A,
3362,23217,05/31/2021,2020,CONAGRA BRANDS INC,USD,11184.7,1298.8,0.116122918,0.04012603,25.4,39,-474.1,-790.8,2348.7,154.2,A,
3465,24104,12/31/2019,2019,CONTINENTAL MATERIALS CORP,USD,113.276,-13.899,-0.122700307,,-5.124,,-0.416,,-5.844,,I,
3502,24491,12/31/2019,2019,COOPER TIRE & RUBBER CO,USD,2752.639,96.404,0.035022391,,20.207,,34.879,,345.502,,I,
3502,24491,12/31/2020,2020,COOPER TIRE & RUBBER CO,USD,2521.074,142.789,0.056638163,0.021615772,-13.483,-33.69,236.38,201.501,402.132,56.63,I,
3505,24545,12/31/2019,2019,MOLSON COORS BEVERAGE CO,USD,10579.4,241.7,0.022846286,,-33.3,,-534.5,,2328.2,,A,
3505,24545,12/31/2020,2020,MOLSON COORS BEVERAGE CO,USD,9684.3,-949,-0.09799366,-0.120839946,-38.5,-5.2,246.7,781.2,2198.9,-129.3,A,
3532,24741,12/31/2019,2019,CORNING INC,USD,11503,960,0.08345649,,-264,,79,,3255,,A,
3532,24741,12/31/2020,2020,CORNING INC,USD,11408,512,0.044880785,-0.038575704,32,296,238,159,2952,-303,A,
3580,25445,12/31/2019,2019,CRANE CO,USD,3283.1,133.3,0.04060187,,-1.3,,50.5,,605.4,,A,
3580,25445,12/31/2020,2020,CRANE CO,USD,2936.9,181,0.061629609,0.021027739,-5.8,-4.5,157.1,106.6,433.7,-171.7,A,
183322,25743,12/31/2019,2019,THERAPEUTICSMD INC,USD,49.647,-176.145,-3.547948517,,8.232,,-0.783,,-150.592,,A,
183322,25743,12/31/2020,2020,THERAPEUTICSMD INC,USD,64.872,-183.524,-2.829017141,0.718931375,8.22,-0.012,-80.344,-79.561,-154.499,-3.907,A,
3622,25895,03/31/2020,2019,CROWN CRAFTS INC,USD,73.396,6.561,0.089391792,,-1.43,,0.139,,9.308,,A,
3622,25895,03/31/2021,2020,CROWN CRAFTS INC,USD,79.164,6.081,0.076815219,-0.012576573,-1.757,-0.327,0.331,0.192,11.41,2.102,A,
2577,26058,12/31/2019,2019,CTS CORP,USD,468.999,36.146,0.077070527,,-15.631,,-0.692,,86.019,,A,
2577,26058,12/31/2020,2020,CTS CORP,USD,424.066,34.686,0.081793872,0.004723345,11.912,27.543,-8.468,-7.776,73.629,-12.39,A,
3639,26076,09/30/2019,2019,CUBIC CORP,USD,1496.475,49.694,0.033207371,,12.171,,-43.987,,146.25,,I,
3639,26076,09/30/2020,2020,CUBIC CORP,USD,1476.235,-3.221,-0.002181902,-0.035389273,-36.034,-48.205,61.363,105.35,177.63,31.38,I,
3650,26172,12/31/2019,2019,CUMMINS INC,USD,23571,2260,0.095880531,,145,,-174,,3174,,A,
3650,26172,12/31/2020,2020,CUMMINS INC,USD,19811,1789,0.090303367,-0.005577164,150,5,2272,2446,2510,-664,A,
3662,26324,12/31/2019,2019,CURTISS-WRIGHT CORP,USD,2487.961,307.583,0.123628546,,23.193,,114.967,,506.365,,A,
3662,26324,12/31/2020,2020,CURTISS-WRIGHT CORP,USD,2391.336,201.392,0.084217358,-0.039411188,-160.177,-183.37,-192.785,-307.752,478.673,-27.692,A,
3734,26780,12/31/2019,2019,DANA INC,USD,8620,226,0.026218097,,-68,,-2,,963,,A,
3734,26780,12/31/2020,2020,DANA INC,USD,7106,-31,-0.004362511,-0.030580608,-27,41,49,51,552,-411,A,
3863,27996,12/31/2019,2019,DELUXE CORP,USD,2008.715,-199.897,-0.099514864,,-82.182,,29.552,,443.503,,A,
3863,27996,12/31/2020,2020,DELUXE CORP,USD,1790.781,8.808,0.004918524,0.104433388,-78.556,3.626,54.598,25.046,340.587,-102.916,A,
3946,28823,12/31/2019,2019,DIEBOLD NIXDORF INC,USD,4408.7,-341.3,-0.077415111,,-67.7,,-87.6,,344.5,,A,
3946,28823,12/31/2020,2020,DIEBOLD NIXDORF INC,USD,3902.3,-269.1,-0.068959332,0.008455779,23.5,91.2,-50.9,36.7,437.6,93.1,A,
3969,29002,12/31/2019,2019,DIODES INC,USD,1249.13,153.25,0.122685389,,-9.053,,17.674,,290.731,,A,
3969,29002,12/31/2020,2020,DIODES INC,USD,1229.215,98.088,0.079797269,-0.04288812,-14.608,-5.555,61.022,43.348,250.515,-40.216,A,
4001,29332,12/31/2019,2019,DIXIE GROUP INC,USD,374.582,15.271,0.04076811,,-1.151,,0.751,,14.171,,A,
4001,29332,12/31/2020,2020,DIXIE GROUP INC,USD,315.939,-9.208,-0.029144867,-0.069912976,0.766,1.917,1.151,0.4,11.252,-2.919,A,
4036,29644,07/31/2019,2019,DONALDSON CO INC,USD,2851.4,267.2,0.093708354,,-9.7,,-26.9,,468.2,,A,
