adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001477932-19-003830	1607549	APPLIED BIOSCIENCES CORP.	2040	US	CA	BEVERLY HILLS	90212	9701 WILSHIRE BLVD.	SUITE 1000	(310) 356-7374	US	CA	BEVERLY HILLS	90212	9701 WILSHIRE BLVD.	SUITE 1000			811699502	STONY HILL CORP.	20161109	4-NON	0	0331	10-K	20190331	2018	FY	20190701	2019-07-01 17:25:00.0	0	1	appb-20190331.xml	1	
0001493152-19-009954	923601	SINGING MACHINE CO INC	3652	US	FL	FORT LAUDERDALE	33309	6301 NW 5TH WAY, STE 2900		(954) 596-1000	US	FL	FORT LAUDERDALE	33309	6301 NW 5TH WAY, STE 2900		US	DE	953795478			4-NON	0	0331	10-K	20190331	2018	FY	20190701	2019-07-01 06:18:00.0	0	1	smdm-20190331.xml	1	
0001493152-19-009983	1538495	EARTH SCIENCE TECH, INC.	2834	US	FL	DORAL	33122	8000 NW 31ST STREET, UNIT 19		(305) 615-2118	US	FL	DORAL	33122	8000 NW 31ST STREET, UNIT 19		US	NV	454267181	ULTIMATE NOVELTY SPORTS INC.	20111230	4-NON	0	0331	10-K	20190331	2018	FY	20190701	2019-07-01 14:31:00.0	1	1	etst-20190331.xml	1	
0001493152-19-009992	1650101	ADDENTAX GROUP CORP.	7330	CN		SHENZHEN CITY	518000	KINGKEY 100, BLOCK A, ROOM 5403	LUOHU DISTRICT	8675586961405	CN		SHENZHEN CITY	518000	KINGKEY 100, BLOCK A, ROOM 5403	LUOHU DISTRICT	US	NV	000000000			4-NON	0	0331	10-K	20190331	2018	FY	20190701	2019-07-01 15:16:00.0	0	1	atxg-20190331.xml	1	
0001493152-19-010007	1015383	AMMO, INC.	3480	US	AZ	SCOTTSDALE	85251	6401 E. THOMAS ROAD, #106		480-947-0001	US	AZ	SCOTTSDALE	85251	6401 E. THOMAS ROAD, #106		US	DE	300957912	RETROSPETTIVA INC	19970602	4-NON	0	0331	10-K	20190331	2018	FY	20190701	2019-07-01 16:18:00.0	0	1	poww-20190331.xml	1	
0001520138-19-000217	1580149	BIOVIE INC.	2834	US	CA	LOS ANGELES	90404	2120 COLORADO AVE.	SUITE 230	310-444-4300	US	CA	LOS ANGELES	90404	2120 COLORADO AVE.	SUITE 230	US	NV	462510769	NANOANTIBIOTICS, INC.	20130625	4-NON	0	0630	S-1/A	20190331			20190701	2019-07-01 13:02:00.0	1	1	bivi-20190331.xml	1	
0001580695-19-000263	1309082	CAMBER ENERGY, INC.	1311	US	TX	HOUSTON	77002	1415 LOUISIANA STREET	SUITE 3500	(210) 998-4035	US	TX	HOUSTON	77002	1415 LOUISIANA STREET	SUITE 3500	US	NV	980417780	LUCAS ENERGY, INC.	20060620	4-NON	0	0331	10-K	20190331	2018	FY	20190701	2019-07-01 16:22:00.0	0	1	cei-20190331.xml	1	
0001594062-19-000060	1490873	ECO SCIENCE SOLUTIONS, INC.	5900	US	HI	MAKAWAO	96768	1135 MAKAWAO AVE	SUITE 103-188	1-800-379-0226	US	HI	MAKAWAO	96768	1135 MAKAWAO AVE	SUITE 103-188			464199032	EATON SCIENTIFIC SYSTEMS, INC.	20130509	4-NON	0	0131	10-Q	20190430	2020	Q1	20190701	2019-07-01 12:53:00.0	0	1	essi-20190430.xml	1	
0001617431-19-000026	1617431	PO YUEN CULTURAL HOLDINGS (HONG KONG) CO., LTD.	5960	HK		SHEUNG WAN	00000	ROOM A, 16/F, WINBASE CENTRE	208 QUEEN'S ROAD CENTRAL	852-2350-1928	HK		SHEUNG WAN	00000	ROOM A, 16/F, WINBASE CENTRE	208 QUEEN'S ROAD CENTRAL	US	NV	471100063	ASIA TRAINING INSTITUTE, INC.	20160217	4-NON	0	0331	10-K	20190331	2018	FY	20190701	2019-07-01 10:46:00.0	0	1	poyn-20190331.xml	1	
0001654954-19-007798	1465470	NATURALSHRIMP INC	0900	US	TX	WACO	76710	2068 NORTH VALLEY MILLS ROAD		(888) 791-9474	US	TX	WACO	76710	2068 NORTH VALLEY MILLS ROAD		US	NV	000000000	MULTIPLAYER ONLINE DRAGON, INC.	20090603	4-NON	0	0331	10-K	20190331	2018	FY	20190701	2019-06-28 19:20:00.0	0	1	shmp-20190331.xml	1	
0001683168-19-002069	1367083	SONOMA PHARMACEUTICALS, INC.	2834	US	CA	PETALUMA	94954	1129 N. MCDOWELL BLVD.		707-283-0550	US	CA	PETALUMA	94954	1129 N. MCDOWELL BLVD.		US	DE	680423298	OCULUS INNOVATIVE SCIENCES, INC.	20060622	4-NON	0	0331	10-K	20190331	2018	FY	20190701	2019-07-01 16:55:00.0	0	1	snoa-20190331.xml	1	
0001683168-19-002070	882291	AETHLON MEDICAL INC	3826	US	CA	SAN DIEGO	92123	9635 GRANITE RIDGE DRIVE, SUITE 100		858-459-7800	US	CA	SAN DIEGO	92123	9635 GRANITE RIDGE DRIVE, SUITE 100		US	NV	133632859	BISHOP EQUITIES INC	19930602	4-NON	0	0331	10-K	20190331	2018	FY	20190701	2019-07-01 17:16:00.0	0	1	aemd-20190331.xml	1	
0001079974-19-000348	1413488	MCTC HOLDINGS, INC.	2836	US	CA	LOS ANGELES	90071	520 S. GRAND AVENUE	SUITE 320	(310) 986-4929	US	CA	LOS ANGELES	90071	520 S. GRAND AVENUE	SUITE 320	US	DE	831754057	MICROCHANNEL TECHNOLOGIES CORP	20070925	4-NON	0	0831	10-Q	20190531	2019	Q3	20190702	2019-07-02 13:51:00.0	0	1	mctc-20190531.xml	1	
0001144215-19-000072	1144215	ACUITY BRANDS INC	3640	US	GA	ATLANTA	30309-7676	1170 PEACHTREE STREET, NE	SUITE 2300	404-853-1400	US	GA	ATLANTA	30309-7676	1170 PEACHTREE STREET, NE	SUITE 2300	US	DE	582632672	L&C SPINCO INC	20010629	1-LAF	0	0831	10-Q	20190531	2019	Q3	20190702	2019-07-02 08:33:00.0	0	1	ayi-20190531x10q_htm.xml	1	
0001185185-19-000936	1568875	ZNERGY, INC.	3640	US	IN	SYRACUSE	46567	808A SOUTH HUNTINGTON STREET		941-350-7833	US	IN	SYRACUSE	46567	808A SOUTH HUNTINGTON STREET		US	NV	461845946	MAZZAL HOLDING CORP.	20140218	4-NON	0	1231	10-Q	20180630	2018	Q2	20190702	2019-07-02 17:18:00.0	0	1	znrg-20180630.xml	1	
0001193125-19-188234	923120	GREENBRIER COMPANIES INC	3743	US	OR	LAKE OSWEGO	97035	ONE CENTERPOINTE DR	STE 200	5036847000	US	OR	LAKE OSWEGO	97035	ONE CENTERPOINTE DR	STE 200	US	OR	930816972			1-LAF	0	0831	10-Q	20190531	2019	Q3	20190702	2019-07-02 16:08:00.0	0	1	gbx-20190331.xml	1	
0001213900-19-011933	1734005	APTORUM GROUP LTD	2834	CN		HONG KONG	999077	17/F, GUANGDONG INVESTMENT TOWER	148 CONNAUGHT ROAD CENTRAL	852 2117 6611	CN		HONG KONG	999077	17/F, GUANGDONG INVESTMENT TOWER	148 CONNAUGHT ROAD CENTRAL	KY		000000000			4-NON	0	1231	F-1	20181231			20190702	2019-07-02 13:37:00.0	0	1	apm-20181231.xml	1	
0001213900-19-011948	1026785	HIGHWAY HOLDINGS LTD	3490	HK		SHEUNG SHUI	00000	LEVEL 18 LANDMARK N 39 LUNG SUM AVE	STE 1801	011-86-755-2813-6056	HK		SHEUNG SHUI	999999999	LEVEL 18 LANDMARK N 39 LUNG SUM AVE	STE 1801			000000000			4-NON	0	0331	20-F	20190331	2018	FY	20190702	2019-07-02 16:07:00.0	0	1	hiho-20190331.xml	1	
0001437749-19-013287	10329	BASSETT FURNITURE INDUSTRIES INC	2511	US	VA	BASSETT	24055	PO BOX 626		5406296209	US	VA	BASSETT	24055	MAIN ST	P O BOX 626	US	VA	540135270			2-ACC	0	1130	10-Q	20190531	2019	Q2	20190702	2019-07-02 09:20:00.0	0	1	bset20190525_10q_htm.xml	1	
0001437749-19-013398	39368	FULLER H B CO	2891	US	MN	ST PAUL	55110-5132	1200 WILLOW LAKE BLVD		6126453401	US	MN	ST PAUL	55110-5132	1200 WILLOW LAKE BLVD		US	MN	410268370			1-LAF	0	1130	8-K	20190630			20190702	2019-07-02 17:12:00.0	1	0	ful20190627_8k_htm.xml	1	
0001493152-19-010056	1567098	LUCKWEL PHARMACEUTICALS INC.	2834	US	MA	WALTHAM	02451	303 WYMAN STREET	SUITE 300	1(781)728 0007	US	MA	WALTHAM	02451	303 WYMAN STREET	SUITE 300	US	NV	461660653	LUCKYCOM PHARMACEUTICALS INC.	20170419	4-NON	0	0331	10-K	20190331	2018	FY	20190702	2019-07-01 17:33:00.0	0	1	lwel-20190331.xml	1	
0001493152-19-010112	1300524	AMERICAN INTERNATIONAL HOLDINGS CORP.	1389	US	TX	KEMAH	77565	601 CIEN STREET, SUITE 240		281-334-9479	US	TX	KEMAH	77565	601 CIEN STREET, SUITE 240		US	NV	880225318	DELTA SEABOARD INTERNATIONAL, INC.	20100518	4-NON	0	1231	10-K	20181231	2018	FY	20190702	2019-07-02 12:36:00.0	0	1	amih-20181231.xml	1	
0001493152-19-010131	1586495	BLOW & DRIVE INTERLOCK CORP	3714	US	CA	BEVERLY HILLS	90211	137 SOUTH ROBERTSON BOULEVARD	SUITE 129	818-299-0653	US	CA	BEVERLY HILLS	90211	137 SOUTH ROBERTSON BOULEVARD	SUITE 129	US	DE	463590850	JAM RUN ACQUISITION CORP	20130911	4-NON	0	1231	10-Q	20180630	2018	Q2	20190702	2019-07-02 15:46:00.0	0	1	bdic-20180630.xml	1	
0001493152-19-010141	1498291	DANIELS CORPORATE ADVISORY COMPANY, INC.	8742	US	NY	FOREST HILLS	11375	104-60 QUEENS BLVD, SUITE 12-B		372-242-3148	US	NY	FOREST HILLS	11375	104-60 QUEENS BLVD, SUITE 12-B		US	NV	043866724			4-NON	0	1130	10-Q	20170228	2017	Q1	20190702	2019-07-02 16:19:00.0	0	1	dcac-20170228.xml	1	
0001493152-19-010142	1498291	DANIELS CORPORATE ADVISORY COMPANY, INC.	8742	US	NY	FOREST HILLS	11375	104-60 QUEENS BLVD, SUITE 12-B		372-242-3148	US	NY	FOREST HILLS	11375	104-60 QUEENS BLVD, SUITE 12-B		US	NV	043866724			4-NON	0	1130	10-Q	20170531	2017	Q2	20190702	2019-07-02 16:24:00.0	0	1	dcac-20170531.xml	1	
0001493152-19-010147	1498291	DANIELS CORPORATE ADVISORY COMPANY, INC.	8742	US	NY	FOREST HILLS	11375	104-60 QUEENS BLVD, SUITE 12-B		372-242-3148	US	NY	FOREST HILLS	11375	104-60 QUEENS BLVD, SUITE 12-B		US	NV	043866724			4-NON	0	1130	10-Q	20170831	2017	Q3	20190702	2019-07-02 16:30:00.0	0	1	dcac-20170831.xml	1	
0001564590-19-024434	717954	UNIFIRST CORP	7200	US	MA	WILMINGTON	01887	68 JONSPIN RD		(978) 658-8888	US	MA	WILMINGTON	01887	68 JONSPIN ROAD		US	MA	042103460	INTERSTATE UNIFORM SERVICES CORP/MA	19840410	1-LAF	0	0831	10-Q	20190531	2019	Q3	20190702	2019-07-02 16:57:00.0	0	1	unf-20190525.xml	1	
0001628280-19-008539	908598	ATRM HOLDINGS, INC.	2452	US	MN	OAKDALE	55128	5215 GERSHWIN AVE. N.		6517041800	US	MN	OAKDALE	55128	5215 GERSHWIN AVE. N.		US	MN	411439182	AETRIUM INC	19930702	4-NON	0	1231	10-Q	20190331	2019	Q1	20190702	2019-07-02 17:21:00.0	0	1	atrm-20190331.xml	1	
0001640334-19-001275	1691906	ANTILIA GROUP, CORP.	5500	DO		SOSUA	57000	CALLE DUARTE NO.6		8292172262	DO		SOSUA	57000	CALLE DUARTE NO.6		US	NV	981328653			4-NON	0	0131	10-Q	20190430	2019	Q1	20190702	2019-07-02 12:54:00.0	0	1	aggg-20190430.xml	1	
0001683168-19-002077	1534525	XENETIC BIOSCIENCES, INC.	2834	US	MA	LEXINGTON	02421	99 HAYDEN AVENUE, SUITE 230		781-778-7720	US	MA	LEXINGTON	02421	99 HAYDEN AVENUE, SUITE 230		US	NV	452952962	GENERAL SALES & LEASING, INC.	20130227	4-NON	0	1231	S-1/A	20190331	2019	Q1	20190702	2019-07-01 21:23:00.0	0	1	xbio-20190331.xml	1	
0001683168-19-002083	1653876	MOMENTOUS HOLDINGS CORP.	7372	GB		LONDON, ENGLAND	W1J  7WS	32 CURZON STREET		44-744-430-1337	GB		LONDON, ENGLAND	W1J  7WS	32 CURZON STREET		US	NV	320471741			4-NON	0	0531	10-Q	20190228	2019	Q3	20190702	2019-07-02 09:00:00.0	0	1	none-20190228.xml	1	
0001702744-19-000022	1702744	SIMPLY GOOD FOODS CO	2000	US	CO	DENVER	80202	1225 17TH STREET	SUITE 1000	303-633-2840	US	CO	DENVER	80202	1225 17TH STREET	SUITE 1000			821038121			2-ACC	0	0831	10-Q	20190531	2019	Q3	20190702	2019-07-02 13:13:00.0	0	1	atk-20190525.xml	1	
0001078782-19-000561	1539680	HAMMER FIBER OPTICS HOLDINGS CORP	4899	US	NJ	PISCATAWAY	08854	15 CORPORATE PLACE SOUTH		844-413-2600	US	NJ	PISCATAWAY	08854	15 CORPORATE PLACE SOUTH		US	NV	981032170	TANARIS POWER HOLDINGS INC.	20150310	4-NON	0	0731	10-Q/A	20190430	2019	Q3	20190703	2019-07-02 19:20:00.0	0	1	hmmr-20190430.xml	1	
0001078782-19-000566	1413754	MARIZYME INC	2834	US	GA	WOODSTOCK	30189	2295 TOWNE LAKE PKWY STE 116-290		925-400-3123	US	GA	WOODSTOCK	30189	2295 TOWNE LAKE PKWY STE 116-290		US	NV	000000000	GBS ENTERPRISES INC	20100830	4-NON	0	1231	10-Q	20190630	2019	Q2	20190703	2019-07-03 16:38:00.0	0	1	marz-20190630.xml	1	
0001090061-19-000046	1090061	OMNOVA SOLUTIONS INC	3060	US	OH	BEACHWOOD	44122	25435 HARVARD RD		2166827000	US	OH	BEACHWOOD	44122	25435 HARVARD RD		US	OH	341897652			2-ACC	0	1130	10-Q	20190531	2019	Q2	20190703	2019-07-03 14:40:00.0	0	1	omn-0531201910q_htm.xml	1	
0001144204-19-033793	1742927	TENZING ACQUISITION CORP.	6770	US	NY	NEW YORK	10019	250 WEST 55TH STREET		2127105220	US	NY	NEW YORK	10019	250 WEST 55TH STREET		VG		000000000			4-NON	0	0228	10-Q	20190531	2020	Q1	20190703	2019-07-03 16:12:00.0	0	1	tzacu-20190531.xml	1	
0001170010-19-000133	1170010	CARMAX INC	5500	US	VA	RICHMOND	23238	12800 TUCKAHOE CREEK PARKWAY		(804) 747-0422	US	VA	RICHMOND	23238	12800 TUCKAHOE CREEK PARKWAY		US	VA	541821055			1-LAF	0	0228	10-Q	20190531	2020	Q1	20190703	2019-07-03 11:02:00.0	0	1	kmx-20190531.xml	1	
0001185185-19-000940	1522222	CLS HOLDINGS USA, INC.	5900	US	FL	MIAMI	33156	11767 SOUTH DIXIE HIGHWAY, SUITE 115		888-438-9132	US	FL	MIAMI	33156	11767 SOUTH DIXIE HIGHWAY, SUITE 115		US	NV	000000000	ADELT DESIGN, INC.	20110601	4-NON	0	0531	S-1	20190228	2019	Q3	20190703	2019-07-03 16:52:00.0	0	1	clsh-20190228.xml	1	
0001213900-19-012018	1534154	IPSIDY INC.	7372	US	NY	LONG BEACH	11561	670 LONG BEACH BLVD.		516-274-8700	US	NY	LONG BEACH	11561	670 LONG BEACH BLVD.		US	DE	000000000	ID GLOBAL SOLUTIONS CORP	20141014	4-NON	0	1231	S-1	20190331			20190703	2019-07-03 13:31:00.0	1	1	idty-20190331.xml	1	
0001213900-19-012043	1752108	REEBONZ HOLDING LTD	5961	SG		#07-00	528548	C/O REEBONZ LIMITED	5 TAMPINES NORTH DRIVE 5	65 6499 9469	SG		#07-00	528548	C/O REEBONZ LIMITED	5 TAMPINES NORTH DRIVE 5	KY		000000000	DOTA HOLDINGS LTD	20180905	4-NON	0	1231	F-1	20181231			20190703	2019-07-03 15:43:00.0	0	1	rbz-20181231.xml	1	
0001213900-19-012075	1510247	LGBTQ LOYALTY HOLDINGS, INC.	7374	US	CA	SAN DIEGO	92121	5752 OBERLIN DRIVE	#106	858-952-5715	US	CA	SAN DIEGO	92121	5752 OBERLIN DRIVE	#106	US	DE	800671280	LIFEAPPS BRANDS INC.	20160107	4-NON	0	1231	S-1	20190331			20190703	2019-07-03 16:47:00.0	0	1	lfap-20190331.xml	1	
0001493152-19-010236	1645155	WEBSTAR TECHNOLOGY GROUP INC.	7372	US	FL	JACKSONVILLE	32257	4231 WALNUT BEND		8006086344	US	FL	JACKSONVILLE	32257	4231 WALNUT BEND		US	WY	371780261			4-NON	0	1231	10-Q	20190331	2019	Q1	20190703	2019-07-03 12:56:00.0	0	1	wbst-20190331.xml	1	
0001493152-19-010243	1572565	INDOOR HARVEST CORP	3590	US	TX	AUSTIN	78739	7401 W. SLAUGHTER LANE #5078		(346) 310-3427	US	TX	AUSTIN	78739	7401 W. SLAUGHTER LANE #5078		US	TX	455577364			4-NON	0	1231	10-Q	20190331	2019	Q1	20190703	2019-07-03 14:13:00.0	0	1	inqd-20190331.xml	1	
0001539838-19-000081	1539838	DIAMONDBACK ENERGY, INC.	1311	US	TX	MIDLAND	79701	500 WEST TEXAS	SUITE 1210	405-463-6900	US	OK	OKLAHOMA CITY	73114	9400 N. BROADWAY	SUITE 700	US	DE	000000000	ALAGASCO INC	19851002	1-LAF	0		S-4/A				20190703	2019-07-03 17:13:00.0	0	0	fang-20190703.xml	6	1590696 1590692 1771397 1771381 277595
0001539838-19-000082	1539838	DIAMONDBACK ENERGY, INC.	1311	US	TX	MIDLAND	79701	500 WEST TEXAS	SUITE 1210	405-463-6900	US	OK	OKLAHOMA CITY	73114	9400 N. BROADWAY	SUITE 700	US	DE	000000000			1-LAF	0	1231	8-K	20190630			20190703	2019-07-03 17:20:00.0	0	0	fang-20190628.xml	1	
0001564590-19-024450	1177394	SYNNEX CORP	5045	US	CA	FREMONT	94538	44201 NOBEL DRIVE		5106563333	US	CA	FREMONT	94538	44201 NOBEL DRIVE		US	DE	942703333	SYNNEX INFORMATION TECHNOLOGIES INC	20020715	1-LAF	0	1130	10-Q	20190531	2019	Q2	20190703	2019-07-02 18:45:00.0	0	1	snx-20190531.xml	1	
0001564590-19-024496	33002	ENNIS, INC.	2761	US	TX	MIDLOTHIAN	76065	2441 PRESIDENTIAL PARKWAY		9727759801	US	TX	MIDLOTHIAN	76065	2441 PRESIDENTIAL PARKWAY		US	TX	750256410	ENNIS BUSINESS FORMS INC	19920703	2-ACC	0	0228	10-Q	20190531	2020	Q1	20190703	2019-07-03 12:26:00.0	0	1	ebf-20190531.xml	1	
0001602065-19-000023	1602065	VIPER ENERGY PARTNERS LP	1311	US	TX	MIDLAND	79701	500 WEST TEXAS AVENUE	SUITE 1200	432-221-7400	US	TX	MIDLAND	79701	500 WEST TEXAS AVENUE	SUITE 1200	US	DE	465001985			1-LAF	0	1231	8-K	20190630			20190703	2019-07-03 17:27:00.0	1	0	fang-20190627.xml	1	
0001628280-19-008570	920760	LENNAR CORP /NEW/	1520	US	FL	MIAMI	33172	700 NW 107TH AVENUE	SUITE 400	3055594000	US	FL	MIAMI	33172	700 NW 107TH AVENUE	SUITE 400	US	DE	954337490	PACIFIC GREYSTONE CORP /DE/	19940323	1-LAF	0	1130	10-Q	20190531	2019	Q2	20190703	2019-07-03 16:00:00.0	0	1	len-2019531x10qq2_htm.xml	1	
0001654954-19-007941	884650	INFINITE GROUP INC	7370	US	NY	PITTSFORD	14534	80 OFFICE PARK WAY		5853850610	US	NY	PITTSFORD	14534	80 OFFICE PARK WAY		US	DE	521490422	INFINITE MACHINE CORP	19971015	4-NON	0	1231	10-K	20171231	2017	FY	20190703	2019-07-03 16:47:00.0	0	1	imci-20171231.xml	1	
0001654954-19-007942	884650	INFINITE GROUP INC	7370	US	NY	PITTSFORD	14534	80 OFFICE PARK WAY		5853850610	US	NY	PITTSFORD	14534	80 OFFICE PARK WAY		US	DE	521490422	INFINITE MACHINE CORP	19971015	4-NON	0	1231	10-Q	20180331	2018	Q1	20190703	2019-07-03 16:49:00.0	0	1	imci-20180331.xml	1	
0001654954-19-007943	884650	INFINITE GROUP INC	7370	US	NY	PITTSFORD	14534	80 OFFICE PARK WAY		5853850610	US	NY	PITTSFORD	14534	80 OFFICE PARK WAY		US	DE	521490422	INFINITE MACHINE CORP	19971015	4-NON	0	1231	10-Q	20180630	2018	Q2	20190703	2019-07-03 16:50:00.0	0	1	imci-20180630.xml	1	
0001654954-19-007944	884650	INFINITE GROUP INC	7370	US	NY	PITTSFORD	14534	80 OFFICE PARK WAY		5853850610	US	NY	PITTSFORD	14534	80 OFFICE PARK WAY		US	DE	521490422	INFINITE MACHINE CORP	19971015	4-NON	0	1231	10-Q	20180930	2018	Q3	20190703	2019-07-03 16:52:00.0	0	1	imci-20180930.xml	1	
0001654954-19-007945	884650	INFINITE GROUP INC	7370	US	NY	PITTSFORD	14534	80 OFFICE PARK WAY		5853850610	US	NY	PITTSFORD	14534	80 OFFICE PARK WAY		US	DE	521490422	INFINITE MACHINE CORP	19971015	4-NON	0	1231	10-K	20181231	2018	FY	20190703	2019-07-03 16:53:00.0	0	1	imci-20181231.xml	1	
0001654954-19-007946	884650	INFINITE GROUP INC	7370	US	NY	PITTSFORD	14534	80 OFFICE PARK WAY		5853850610	US	NY	PITTSFORD	14534	80 OFFICE PARK WAY		US	DE	521490422	INFINITE MACHINE CORP	19971015	4-NON	0	1231	10-Q	20190331	2019	Q1	20190703	2019-07-03 16:54:00.0	0	1	imci-20190331.xml	1	
0001683168-19-002103	1590418	FOCUS UNIVERSAL INC.	3823	US	CA	ONTARIO	91761	2311 EAST LOCUST STREET		917-830-6517	US	CA	ONTARIO	91761	2311 EAST LOCUST STREET		US	NV	463355876			4-NON	0	1231	S-1	20190331	2019	Q1	20190703	2019-07-03 15:38:00.0	1	1	fcuv-20190331.xml	1	
